Name,MaterialNumber,Density,CharacterSize,Color,Comment,Atom01,Amount01,Atom02,Amount02,Atom03,Amount03,Atom04,Amount04,Atom05,Amount05,Atom06,Amount06,Atom07,Amount07,Atom08,Amount08,Atom09,Amount09,Atom10,Amount10,Atom11,Amount11,Atom12,Amount12
Air,1,-1.2049E-03,2,cyan,JAERI-Tech-96-001 <-- JAERI-M6928,H,-1.00E-03,C,-1.26E-02,N,-7.55E+01,O,-2.32E+01,,,,,,,,,,,,,,,,
H2O,2,-1.00E+00,2,cyanblue,,H,2.00E+00,O,1.00E+00,,,,,,,,,,,,,,,,,,,,
Concrete,3,-2.1,2,yellow,Shahei-Keisan-Jitsumu-Manual-2007,H,-0.0103,C,-0.001,O,-0.5446,Mg,-0.0022,Al,-0.0348,Si,-0.346,Ca,-0.0446,Fe,-0.0143,,,,,,,,
Polyethylen,4,-0.87,2,yellowgreen,JAERI-Tech-96-001,H,2,C,1,,,,,,,,,,,,,,,,,,,,
Fe,5,-7.86,2,red,,Fe,1,,,,,,,,,,,,,,,,,,,,,,
SS400,6,-7.85,2,red,Structure Steel 400 N/m2,Fe,-9.96E-01,Si,-2.00E-03,C,-1.30E-03,S,-2.50E-04,P,-2.00E-04,,,,,,,,,,,,,,
SUS316,7,-7.98,2,red,Stainless Steel,Fe,-6.69E-01,C,-4.00E-04,Si,-5.00E-03,Mn,-1.00E-02,P,-2.25E-04,Si,-1.50E-04,Ni,-1.20E-01,Cr,-1.70E-01,Mo,-2.50E-02,,,,,,
Al,8,-2.7,2,pink,pure Aluminum,Al,1,,,,,,,,,,,,,,,,,,,,,,
Pb,9,-11.34,2,orange,pure Lead,Pb,1,,,,,,,,,,,,,,,,,,,,,,
Ti,10,-4.51,2,darkred,pure Titanium,Ti,1,,,,,,,,,,,,,,,,,,,,,,
Ta,11,-16.654,2,purple,pure Tantal,Ta,1,,,,,,,,,,,,,,,,,,,,,,
Ra,12,-5.5,2,violet,pure Radium,226Ra,1,,,,,,,,,,,,,,,,,,,,,,
He,13,-1.79E-04,2,pastelcyan,,He,1,,,,,,,,,,,,,,,,,,,,,,
N,14,-1.25E-03,2,pastelgreen,,N,1,,,,,,,,,,,,,,,,,,,,,,
Quartz-Glass,15,-2.196,2,blue,,Si,1,O,2,,,,,,,,,,,,,,,,,,,,
Soil,16,-1.52,2,brown,Houshasen-Shahei-Handbook-Kisohen <-- JAERI-M8171,H,2.26E-02,O,3.26E-02,Na,4.01E-04,Mg,2.54E-04,Al,3.40E-03,Si,6.91E-03,K,1.02E-04,Ca,2.26E-04,Ti,9.13E-05,Fe,9.57E-04,,,,
Boron-PE,17,-0.98,2,yellowgreen,PE B-770  wt.10% B2O3 wt.90% HDPE(C2H4),H,-0.129,C,-0.771,B,-0.031,O,-0.069,,,,,,,,,,,,,,,,
RaCl2,18,-4.9,2,violet,,226Ra,1,Cl,2,,,,,,,,,,,,,,,,,,,,
