#  e-lower      e-upper      photon      r.err
   0.0000E+00   5.0000E-01   9.8569E+13  0.0052
   5.0000E-01   1.0000E+00   1.4297E+14  0.0043
   1.0000E+00   1.5000E+00   9.6679E+13  0.0052
   1.5000E+00   2.0000E+00   6.9883E+13  0.0060
   2.0000E+00   2.5000E+00   5.4971E+13  0.0068
   2.5000E+00   3.0000E+00   4.3698E+13  0.0076
   3.0000E+00   3.5000E+00   3.6157E+13  0.0084
   3.5000E+00   4.0000E+00   3.0949E+13  0.0090
   4.0000E+00   4.5000E+00   2.6816E+13  0.0097
   4.5000E+00   5.0000E+00   2.3476E+13  0.0103
   5.0000E+00   5.5000E+00   2.0836E+13  0.0110
   5.5000E+00   6.0000E+00   1.8647E+13  0.0116
   6.0000E+00   6.5000E+00   1.6809E+13  0.0122
   6.5000E+00   7.0000E+00   1.5358E+13  0.0128
   7.0000E+00   7.5000E+00   1.4085E+13  0.0133
   7.5000E+00   8.0000E+00   1.2836E+13  0.0140
   8.0000E+00   8.5000E+00   1.1740E+13  0.0146
   8.5000E+00   9.0000E+00   1.0734E+13  0.0153
   9.0000E+00   9.5000E+00   1.0255E+13  0.0156
   9.5000E+00   1.0000E+01   9.4282E+12  0.0163
   1.0000E+01   1.0500E+01   8.7366E+12  0.0169
   1.0500E+01   1.1000E+01   8.3371E+12  0.0173
   1.1000E+01   1.1500E+01   7.6804E+12  0.0180
   1.1500E+01   1.2000E+01   7.3308E+12  0.0185
   1.2000E+01   1.2500E+01   6.7066E+12  0.0193
   1.2500E+01   1.3000E+01   6.3021E+12  0.0199
   1.3000E+01   1.3500E+01   5.9051E+12  0.0206
   1.3500E+01   1.4000E+01   5.4457E+12  0.0214
   1.4000E+01   1.4500E+01   5.4257E+12  0.0214
   1.4500E+01   1.5000E+01   5.1486E+12  0.0220
   1.5000E+01   1.5500E+01   5.0537E+12  0.0222
   1.5500E+01   1.6000E+01   4.6567E+12  0.0231
   1.6000E+01   1.6500E+01   4.5868E+12  0.0233
   1.6500E+01   1.7000E+01   4.3046E+12  0.0241
   1.7000E+01   1.7500E+01   4.0924E+12  0.0247
   1.7500E+01   1.8000E+01   3.8552E+12  0.0254
   1.8000E+01   1.8500E+01   3.6080E+12  0.0263
   1.8500E+01   1.9000E+01   3.7104E+12  0.0259
   1.9000E+01   1.9500E+01   3.4906E+12  0.0267
   1.9500E+01   2.0000E+01   3.1935E+12  0.0280
   2.0000E+01   2.0500E+01   3.1760E+12  0.0280
   2.0500E+01   2.1000E+01   2.9213E+12  0.0292
   2.1000E+01   2.1500E+01   2.9763E+12  0.0289
   2.1500E+01   2.2000E+01   2.9164E+12  0.0292
   2.2000E+01   2.2500E+01   2.7640E+12  0.0300
   2.2500E+01   2.3000E+01   2.6217E+12  0.0308
   2.3000E+01   2.3500E+01   2.6242E+12  0.0308
   2.3500E+01   2.4000E+01   2.5343E+12  0.0314
   2.4000E+01   2.4500E+01   2.2797E+12  0.0331
   2.4500E+01   2.5000E+01   2.2971E+12  0.0330
   2.5000E+01   2.5500E+01   2.1398E+12  0.0341
   2.5500E+01   2.6000E+01   2.1373E+12  0.0342
   2.6000E+01   2.6500E+01   1.9176E+12  0.0361
   2.6500E+01   2.7000E+01   1.8402E+12  0.0368
   2.7000E+01   2.7500E+01   1.7453E+12  0.0378
   2.7500E+01   2.8000E+01   1.7903E+12  0.0373
   2.8000E+01   2.8500E+01   1.6879E+12  0.0384
   2.8500E+01   2.9000E+01   1.5456E+12  0.0402
   2.9000E+01   2.9500E+01   1.6454E+12  0.0389
   2.9500E+01   3.0000E+01   1.5356E+12  0.0403
   3.0000E+01   3.0500E+01   1.5381E+12  0.0403
   3.0500E+01   3.1000E+01   1.3933E+12  0.0423
   3.1000E+01   3.1500E+01   1.3933E+12  0.0423
   3.1500E+01   3.2000E+01   1.3983E+12  0.0422
   3.2000E+01   3.2500E+01   1.2884E+12  0.0440
   3.2500E+01   3.3000E+01   1.2160E+12  0.0453
   3.3000E+01   3.3500E+01   1.2010E+12  0.0456
   3.3500E+01   3.4000E+01   1.1785E+12  0.0460
   3.4000E+01   3.4500E+01   1.1136E+12  0.0473
   3.4500E+01   3.5000E+01   1.0612E+12  0.0485
   3.5000E+01   3.5500E+01   9.9376E+11  0.0501
   3.5500E+01   3.6000E+01   9.7628E+11  0.0506
   3.6000E+01   3.6500E+01   8.5643E+11  0.0540
   3.6500E+01   3.7000E+01   8.0649E+11  0.0556
   3.7000E+01   3.7500E+01   8.1898E+11  0.0552
   3.7500E+01   3.8000E+01   6.5918E+11  0.0615
   3.8000E+01   3.8500E+01   7.5406E+11  0.0575
   3.8500E+01   3.9000E+01   6.5418E+11  0.0618
   3.9000E+01   3.9500E+01   6.2921E+11  0.0630
   3.9500E+01   4.0000E+01   5.4182E+11  0.0679
   4.0000E+01   4.0500E+01   5.1186E+11  0.0698
   4.0500E+01   4.1000E+01   4.4694E+11  0.0747
   4.1000E+01   4.1500E+01   4.1948E+11  0.0771
   4.1500E+01   4.2000E+01   2.7715E+11  0.0949
   4.2000E+01   4.2500E+01   2.8714E+11  0.0932
   4.2500E+01   4.3000E+01   2.3970E+11  0.1021
   4.3000E+01   4.3500E+01   1.8227E+11  0.1170
   4.3500E+01   4.4000E+01   6.2422E+10  0.2000
   4.4000E+01   4.4500E+01   3.7453E+10  0.2582
   4.4500E+01   4.5000E+01   7.4906E+09  0.5773
   4.5000E+01   4.5500E+01   0.0000E+00  0.0000
   4.5500E+01   4.6000E+01   0.0000E+00  0.0000
   4.6000E+01   4.6500E+01   0.0000E+00  0.0000
   4.6500E+01   4.7000E+01   0.0000E+00  0.0000
   4.7000E+01   4.7500E+01   0.0000E+00  0.0000
   4.7500E+01   4.8000E+01   0.0000E+00  0.0000
   4.8000E+01   4.8500E+01   0.0000E+00  0.0000
   4.8500E+01   4.9000E+01   0.0000E+00  0.0000
   4.9000E+01   4.9500E+01   0.0000E+00  0.0000
   4.9500E+01   5.0000E+01   0.0000E+00  0.0000
