# e-average(MeV)	phi(count/MeV/uA/s)
2.50000000E-01	4.85545000E+11
7.50000000E-01	7.08750000E+11
1.25000000E+00	4.80275000E+11
1.75000000E+00	3.47705000E+11
2.25000000E+00	2.73135000E+11
2.75000000E+00	2.17465000E+11
3.25000000E+00	1.79765000E+11
3.75000000E+00	1.53810000E+11
4.25000000E+00	1.33570000E+11
4.75000000E+00	1.16830000E+11
5.25000000E+00	1.03935000E+11
5.75000000E+00	9.27850000E+10
6.25000000E+00	8.37350000E+10
6.75000000E+00	7.64900000E+10
7.25000000E+00	6.99500000E+10
7.75000000E+00	6.39200000E+10
8.25000000E+00	5.84000000E+10
8.75000000E+00	5.32450000E+10
9.25000000E+00	5.09850000E+10
9.75000000E+00	4.70285000E+10
1.02500000E+01	4.35830000E+10
1.07500000E+01	4.15980000E+10
1.12500000E+01	3.82395000E+10
1.17500000E+01	3.65170000E+10
1.22500000E+01	3.34455000E+10
1.27500000E+01	3.14105000E+10
1.32500000E+01	2.94755000E+10
1.37500000E+01	2.70285000E+10
1.42500000E+01	2.69790000E+10
1.47500000E+01	2.56305000E+10
1.52500000E+01	2.51560000E+10
1.57500000E+01	2.32585000E+10
1.62500000E+01	2.28215000E+10
1.67500000E+01	2.14855000E+10
1.72500000E+01	2.03620000E+10
1.77500000E+01	1.91010000E+10
1.82500000E+01	1.78525000E+10
1.87500000E+01	1.85020000E+10
1.92500000E+01	1.73660000E+10
1.97500000E+01	1.59050000E+10
2.02500000E+01	1.57555000E+10
2.07500000E+01	1.45570000E+10
2.12500000E+01	1.48690000E+10
2.17500000E+01	1.45195000E+10
2.22500000E+01	1.37205000E+10
2.27500000E+01	1.30585000E+10
2.32500000E+01	1.30835000E+10
2.37500000E+01	1.26090000E+10
2.42500000E+01	1.12985000E+10
2.47500000E+01	1.14855000E+10
2.52500000E+01	1.06865000E+10
2.57500000E+01	1.06490000E+10
2.62500000E+01	9.58800000E+09
2.67500000E+01	9.18850000E+09
2.72500000E+01	8.70150000E+09
2.77500000E+01	8.83900000E+09
2.82500000E+01	8.40200000E+09
2.87500000E+01	7.67800000E+09
2.92500000E+01	8.19000000E+09
2.97500000E+01	7.62800000E+09
3.02500000E+01	7.67800000E+09
3.07500000E+01	6.97900000E+09
3.12500000E+01	6.91650000E+09
3.17500000E+01	6.96650000E+09
3.22500000E+01	6.40450000E+09
3.27500000E+01	6.00500000E+09
3.32500000E+01	6.01750000E+09
3.37500000E+01	5.86750000E+09
3.42500000E+01	5.54300000E+09
3.47500000E+01	5.30600000E+09
3.52500000E+01	4.93135000E+09
3.57500000E+01	4.86890000E+09
3.62500000E+01	4.26965000E+09
3.67500000E+01	3.99500000E+09
3.72500000E+01	4.02000000E+09
3.77500000E+01	3.28340000E+09
3.82500000E+01	3.77030000E+09
3.87500000E+01	3.25845000E+09
3.92500000E+01	3.12110000E+09
3.97500000E+01	2.70910000E+09
4.02500000E+01	2.54680000E+09
4.07500000E+01	2.23470000E+09
4.12500000E+01	2.09740000E+09
4.17500000E+01	1.37330000E+09
4.22500000E+01	1.43570000E+09
4.27500000E+01	1.17355000E+09
4.32500000E+01	8.98900000E+08
4.37500000E+01	3.12110000E+08
4.42500000E+01	1.74780000E+08
4.47500000E+01	3.74530000E+07
4.52500000E+01	0.00000000E+00
4.57500000E+01	0.00000000E+00
4.62500000E+01	0.00000000E+00
4.67500000E+01	0.00000000E+00
4.72500000E+01	0.00000000E+00
4.77500000E+01	0.00000000E+00
4.82500000E+01	0.00000000E+00
4.87500000E+01	0.00000000E+00
4.92500000E+01	0.00000000E+00
4.97500000E+01	0.00000000E+00
