#  e-lower      e-upper      photon      r.err
   0.0000E+00   5.0000E-01   1.5506E+15  0.0051
   5.0000E-01   1.0000E+00   1.9983E+15  0.0043
   1.0000E+00   1.5000E+00   1.3225E+15  0.0052
   1.5000E+00   2.0000E+00   9.5494E+14  0.0061
   2.0000E+00   2.5000E+00   7.5217E+14  0.0069
   2.5000E+00   3.0000E+00   5.9637E+14  0.0077
   3.0000E+00   3.5000E+00   4.9208E+14  0.0085
   3.5000E+00   4.0000E+00   4.2161E+14  0.0091
   4.0000E+00   4.5000E+00   3.6396E+14  0.0098
   4.5000E+00   5.0000E+00   3.2021E+14  0.0104
   5.0000E+00   5.5000E+00   2.8238E+14  0.0111
   5.5000E+00   6.0000E+00   2.5243E+14  0.0117
   6.0000E+00   6.5000E+00   2.2786E+14  0.0124
   6.5000E+00   7.0000E+00   2.0834E+14  0.0129
   7.0000E+00   7.5000E+00   1.9034E+14  0.0135
   7.5000E+00   8.0000E+00   1.7485E+14  0.0141
   8.0000E+00   8.5000E+00   1.5841E+14  0.0148
   8.5000E+00   9.0000E+00   1.4547E+14  0.0155
   9.0000E+00   9.5000E+00   1.3905E+14  0.0158
   9.5000E+00   1.0000E+01   1.2763E+14  0.0165
   1.0000E+01   1.0500E+01   1.1758E+14  0.0172
   1.0500E+01   1.1000E+01   1.1272E+14  0.0176
   1.1000E+01   1.1500E+01   1.0354E+14  0.0183
   1.1500E+01   1.2000E+01   9.9134E+13  0.0187
   1.2000E+01   1.2500E+01   9.0341E+13  0.0196
   1.2500E+01   1.3000E+01   8.5124E+13  0.0202
   1.3000E+01   1.3500E+01   7.9892E+13  0.0209
   1.3500E+01   1.4000E+01   7.3846E+13  0.0217
   1.4000E+01   1.4500E+01   7.3111E+13  0.0218
   1.4500E+01   1.5000E+01   6.8874E+13  0.0224
   1.5000E+01   1.5500E+01   6.8315E+13  0.0225
   1.5500E+01   1.6000E+01   6.2401E+13  0.0235
   1.6000E+01   1.6500E+01   6.1973E+13  0.0236
   1.6500E+01   1.7000E+01   5.8278E+13  0.0245
   1.7000E+01   1.7500E+01   5.4866E+13  0.0251
   1.7500E+01   1.8000E+01   5.1778E+13  0.0259
   1.8000E+01   1.8500E+01   4.8252E+13  0.0268
   1.8500E+01   1.9000E+01   4.9572E+13  0.0264
   1.9000E+01   1.9500E+01   4.6356E+13  0.0273
   1.9500E+01   2.0000E+01   4.3194E+13  0.0284
   2.0000E+01   2.0500E+01   4.2755E+13  0.0285
   2.0500E+01   2.1000E+01   3.9417E+13  0.0297
   2.1000E+01   2.1500E+01   4.0258E+13  0.0294
   2.1500E+01   2.2000E+01   3.9436E+13  0.0297
   2.2000E+01   2.2500E+01   3.7091E+13  0.0306
   2.2500E+01   2.3000E+01   3.5494E+13  0.0313
   2.3000E+01   2.3500E+01   3.5574E+13  0.0313
   2.3500E+01   2.4000E+01   3.4090E+13  0.0319
   2.4000E+01   2.4500E+01   3.0584E+13  0.0337
   2.4500E+01   2.5000E+01   3.0728E+13  0.0336
   2.5000E+01   2.5500E+01   2.9199E+13  0.0345
   2.5500E+01   2.6000E+01   2.8671E+13  0.0348
   2.6000E+01   2.6500E+01   2.5870E+13  0.0367
   2.6500E+01   2.7000E+01   2.4920E+13  0.0373
   2.7000E+01   2.7500E+01   2.3335E+13  0.0385
   2.7500E+01   2.8000E+01   2.3811E+13  0.0382
   2.8000E+01   2.8500E+01   2.2582E+13  0.0392
   2.8500E+01   2.9000E+01   2.0428E+13  0.0411
   2.9000E+01   2.9500E+01   2.1942E+13  0.0397
   2.9500E+01   3.0000E+01   2.0868E+13  0.0408
   3.0000E+01   3.0500E+01   2.0789E+13  0.0409
   3.0500E+01   3.1000E+01   1.8818E+13  0.0430
   3.1000E+01   3.1500E+01   1.8751E+13  0.0430
   3.1500E+01   3.2000E+01   1.8950E+13  0.0429
   3.2000E+01   3.2500E+01   1.7275E+13  0.0449
   3.2500E+01   3.3000E+01   1.6048E+13  0.0464
   3.3000E+01   3.3500E+01   1.6076E+13  0.0465
   3.3500E+01   3.4000E+01   1.5742E+13  0.0469
   3.4000E+01   3.4500E+01   1.4915E+13  0.0482
   3.4500E+01   3.5000E+01   1.4220E+13  0.0494
   3.5000E+01   3.5500E+01   1.3426E+13  0.0509
