[ T-Cross ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    1            # number of crossing regions
      non     r-from            r-to       area
      1       ( 342 343 )       341        1.000000    
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   50.00000      # maximum value of e-mesh points
#    edel =  0.5000000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  5.00000E-01  1.00000E+00  1.50000E+00  2.00000E+00
#           2.50000E+00  3.00000E+00  3.50000E+00  4.00000E+00  4.50000E+00
#           5.00000E+00  5.50000E+00  6.00000E+00  6.50000E+00  7.00000E+00
#           7.50000E+00  8.00000E+00  8.50000E+00  9.00000E+00  9.50000E+00
#           1.00000E+01  1.05000E+01  1.10000E+01  1.15000E+01  1.20000E+01
#           1.25000E+01  1.30000E+01  1.35000E+01  1.40000E+01  1.45000E+01
#           1.50000E+01  1.55000E+01  1.60000E+01  1.65000E+01  1.70000E+01
#           1.75000E+01  1.80000E+01  1.85000E+01  1.90000E+01  1.95000E+01
#           2.00000E+01  2.05000E+01  2.10000E+01  2.15000E+01  2.20000E+01
#           2.25000E+01  2.30000E+01  2.35000E+01  2.40000E+01  2.45000E+01
#           2.50000E+01  2.55000E+01  2.60000E+01  2.65000E+01  2.70000E+01
#           2.75000E+01  2.80000E+01  2.85000E+01  2.90000E+01  2.95000E+01
#           3.00000E+01  3.05000E+01  3.10000E+01  3.15000E+01  3.20000E+01
#           3.25000E+01  3.30000E+01  3.35000E+01  3.40000E+01  3.45000E+01
#           3.50000E+01  3.55000E+01  3.60000E+01  3.65000E+01  3.70000E+01
#           3.75000E+01  3.80000E+01  3.85000E+01  3.90000E+01  3.95000E+01
#           4.00000E+01  4.05000E+01  4.10000E+01  4.15000E+01  4.20000E+01
#           4.25000E+01  4.30000E+01  4.35000E+01  4.40000E+01  4.45000E+01
#           4.50000E+01  4.55000E+01  4.60000E+01  4.65000E+01  4.70000E+01
#           4.75000E+01  4.80000E+01  4.85000E+01  4.90000E+01  4.95000E+01
#           5.00000E+01
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = out/cross_energy.dat  # file name of output for the above axis
   output = current         # surface crossing current spectrum
     part =  photon   
# kf/name :  22       
    x-txt = energy [MeV]
    y-txt = counts [photons/MeV/s]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         117 (  0)           0 (  0)         117 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =    1   reg = ( 342 343 ) - 341

x: energy [MeV]
y: counts [photons/MeV/s]
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(photon  ),hh0l   n 
#  e-lower      e-upper      photon      r.err 
   0.0000E+00   5.0000E-01   3.3488E+14  0.0029
   5.0000E-01   1.0000E+00   3.8445E+14  0.0026
   1.0000E+00   1.5000E+00   2.4496E+14  0.0033
   1.5000E+00   2.0000E+00   1.7554E+14  0.0038
   2.0000E+00   2.5000E+00   1.3683E+14  0.0043
   2.5000E+00   3.0000E+00   1.0981E+14  0.0048
   3.0000E+00   3.5000E+00   9.0477E+13  0.0053
   3.5000E+00   4.0000E+00   7.8367E+13  0.0057
   4.0000E+00   4.5000E+00   6.7665E+13  0.0061
   4.5000E+00   5.0000E+00   5.9511E+13  0.0065
   5.0000E+00   5.5000E+00   5.3503E+13  0.0069
   5.5000E+00   6.0000E+00   4.7341E+13  0.0073
   6.0000E+00   6.5000E+00   4.2921E+13  0.0076
   6.5000E+00   7.0000E+00   3.9326E+13  0.0080
   7.0000E+00   7.5000E+00   3.6022E+13  0.0083
   7.5000E+00   8.0000E+00   3.2951E+13  0.0087
   8.0000E+00   8.5000E+00   3.0532E+13  0.0091
   8.5000E+00   9.0000E+00   2.8412E+13  0.0094
   9.0000E+00   9.5000E+00   2.6487E+13  0.0097
   9.5000E+00   1.0000E+01   2.4697E+13  0.0100
   1.0000E+01   1.0500E+01   2.2954E+13  0.0104
   1.0500E+01   1.1000E+01   2.1241E+13  0.0108
   1.1000E+01   1.1500E+01   2.0252E+13  0.0111
   1.1500E+01   1.2000E+01   1.8921E+13  0.0115
   1.2000E+01   1.2500E+01   1.8022E+13  0.0118
   1.2500E+01   1.3000E+01   1.7371E+13  0.0120
   1.3000E+01   1.3500E+01   1.6325E+13  0.0124
   1.3500E+01   1.4000E+01   1.5466E+13  0.0127
   1.4000E+01   1.4500E+01   1.4762E+13  0.0130
   1.4500E+01   1.5000E+01   1.3783E+13  0.0134
   1.5000E+01   1.5500E+01   1.3223E+13  0.0137
   1.5500E+01   1.6000E+01   1.2622E+13  0.0140
   1.6000E+01   1.6500E+01   1.2017E+13  0.0144
   1.6500E+01   1.7000E+01   1.1943E+13  0.0144
   1.7000E+01   1.7500E+01   1.1009E+13  0.0150
   1.7500E+01   1.8000E+01   1.0529E+13  0.0154
   1.8000E+01   1.8500E+01   9.9725E+12  0.0158
   1.8500E+01   1.9000E+01   9.4357E+12  0.0162
   1.9000E+01   1.9500E+01   9.3783E+12  0.0163
   1.9500E+01   2.0000E+01   9.2010E+12  0.0165
   2.0000E+01   2.0500E+01   8.5968E+12  0.0170
   2.0500E+01   2.1000E+01   8.5818E+12  0.0170
   2.1000E+01   2.1500E+01   7.8826E+12  0.0178
   2.1500E+01   2.2000E+01   7.5605E+12  0.0181
   2.2000E+01   2.2500E+01   7.6380E+12  0.0181
   2.2500E+01   2.3000E+01   7.2859E+12  0.0185
   2.3000E+01   2.3500E+01   6.8664E+12  0.0190
   2.3500E+01   2.4000E+01   6.7640E+12  0.0192
   2.4000E+01   2.4500E+01   6.5343E+12  0.0195
   2.4500E+01   2.5000E+01   6.2172E+12  0.0200
   2.5000E+01   2.5500E+01   5.8727E+12  0.0206
   2.5500E+01   2.6000E+01   5.6929E+12  0.0209
   2.6000E+01   2.6500E+01   5.6729E+12  0.0210
   2.6500E+01   2.7000E+01   5.4507E+12  0.0214
   2.7000E+01   2.7500E+01   5.1461E+12  0.0220
   2.7500E+01   2.8000E+01   5.2085E+12  0.0219
   2.8000E+01   2.8500E+01   4.9788E+12  0.0224
   2.8500E+01   2.9000E+01   4.6142E+12  0.0232
   2.9000E+01   2.9500E+01   4.5768E+12  0.0233
   2.9500E+01   3.0000E+01   4.5293E+12  0.0235
   3.0000E+01   3.0500E+01   4.2047E+12  0.0243
   3.0500E+01   3.1000E+01   4.0424E+12  0.0248
   3.1000E+01   3.1500E+01   4.0574E+12  0.0248
   3.1500E+01   3.2000E+01   3.9301E+12  0.0252
   3.2000E+01   3.2500E+01   3.8577E+12  0.0254
   3.2500E+01   3.3000E+01   3.5730E+12  0.0264
   3.3000E+01   3.3500E+01   3.6180E+12  0.0263
   3.3500E+01   3.4000E+01   3.2834E+12  0.0276
   3.4000E+01   3.4500E+01   3.2484E+12  0.0277
