# g + 226Ra: Production of 225Ra - Total
# Q-value    =-6.39661E+00 mass= 225.023610
# E-threshold= 6.39661E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 2.73722E+01
 8.00000E+00 4.19633E+01
 9.00000E+00 6.76166E+01
 1.00000E+01 1.15818E+02
 1.10000E+01 2.10085E+02
 1.20000E+01 2.69333E+02
 1.30000E+01 1.97275E+02
 1.40000E+01 1.03005E+02
 1.50000E+01 4.76120E+01
 1.60000E+01 2.21207E+01
 1.70000E+01 1.18391E+01
 1.80000E+01 7.18744E+00
 1.90000E+01 4.83484E+00
 2.00000E+01 3.50151E+00
 2.20000E+01 2.08430E+00
 2.40000E+01 1.39452E+00
 2.60000E+01 9.91779E-01
 2.80000E+01 7.35780E-01
 3.00000E+01 5.85376E-01
 3.50000E+01 3.88041E-01
 4.00000E+01 2.90861E-01
 4.50000E+01 2.25277E-01
 5.00000E+01 1.76754E-01
 5.50000E+01 1.56928E-01
 6.00000E+01 1.26617E-01
 6.50000E+01 1.17996E-01
 7.00000E+01 9.78224E-02
 7.50000E+01 9.22377E-02
 8.00000E+01 7.78065E-02
 9.00000E+01 6.24222E-02
 1.00000E+02 5.00060E-02
 1.10000E+02 4.07024E-02
 1.20000E+02 3.34293E-02
 1.30000E+02 2.78455E-02
 1.40000E+02 2.36056E-02
 1.50000E+02 1.96221E-02
 1.60000E+02 1.65384E-02
 1.80000E+02 1.21651E-02
 2.00000E+02 9.34781E-03
