# Energy(MeV)	phi(count/MeV/s)
2.50000000E-01	9.85690000E+13
7.50000000E-01	1.42970000E+14
1.25000000E+00	9.66790000E+13
1.75000000E+00	6.98830000E+13
2.25000000E+00	5.49710000E+13
2.75000000E+00	4.36980000E+13
3.25000000E+00	3.61570000E+13
3.75000000E+00	3.09490000E+13
4.25000000E+00	2.68160000E+13
4.75000000E+00	2.34760000E+13
5.25000000E+00	2.08360000E+13
5.75000000E+00	1.86470000E+13
6.25000000E+00	1.68090000E+13
6.75000000E+00	1.53580000E+13
7.25000000E+00	1.40850000E+13
7.75000000E+00	1.28360000E+13
8.25000000E+00	1.17400000E+13
8.75000000E+00	1.07340000E+13
9.25000000E+00	1.02550000E+13
9.75000000E+00	9.42820000E+12
1.02500000E+01	8.73660000E+12
1.07500000E+01	8.33710000E+12
1.12500000E+01	7.68040000E+12
1.17500000E+01	7.33080000E+12
1.22500000E+01	6.70660000E+12
1.27500000E+01	6.30210000E+12
1.32500000E+01	5.90510000E+12
1.37500000E+01	5.44570000E+12
1.42500000E+01	5.42570000E+12
1.47500000E+01	5.14860000E+12
1.52500000E+01	5.05370000E+12
1.57500000E+01	4.65670000E+12
1.62500000E+01	4.58680000E+12
1.67500000E+01	4.30460000E+12
1.72500000E+01	4.09240000E+12
1.77500000E+01	3.85520000E+12
1.82500000E+01	3.60800000E+12
1.87500000E+01	3.71040000E+12
1.92500000E+01	3.49060000E+12
1.97500000E+01	3.19350000E+12
2.02500000E+01	3.17600000E+12
2.07500000E+01	2.92130000E+12
2.12500000E+01	2.97630000E+12
2.17500000E+01	2.91640000E+12
2.22500000E+01	2.76400000E+12
2.27500000E+01	2.62170000E+12
2.32500000E+01	2.62420000E+12
2.37500000E+01	2.53430000E+12
2.42500000E+01	2.27970000E+12
2.47500000E+01	2.29710000E+12
2.52500000E+01	2.13980000E+12
2.57500000E+01	2.13730000E+12
2.62500000E+01	1.91760000E+12
2.67500000E+01	1.84020000E+12
2.72500000E+01	1.74530000E+12
2.77500000E+01	1.79030000E+12
2.82500000E+01	1.68790000E+12
2.87500000E+01	1.54560000E+12
2.92500000E+01	1.64540000E+12
2.97500000E+01	1.53560000E+12
3.02500000E+01	1.53810000E+12
3.07500000E+01	1.39330000E+12
3.12500000E+01	1.39330000E+12
3.17500000E+01	1.39830000E+12
3.22500000E+01	1.28840000E+12
3.27500000E+01	1.21600000E+12
3.32500000E+01	1.20100000E+12
3.37500000E+01	1.17850000E+12
3.42500000E+01	1.11360000E+12
3.47500000E+01	1.06120000E+12
3.52500000E+01	9.93760000E+11
3.57500000E+01	9.76280000E+11
3.62500000E+01	8.56430000E+11
3.67500000E+01	8.06490000E+11
3.72500000E+01	8.18980000E+11
3.77500000E+01	6.59180000E+11
3.82500000E+01	7.54060000E+11
3.87500000E+01	6.54180000E+11
3.92500000E+01	6.29210000E+11
3.97500000E+01	5.41820000E+11
4.02500000E+01	5.11860000E+11
4.07500000E+01	4.46940000E+11
4.12500000E+01	4.19480000E+11
4.17500000E+01	2.77150000E+11
4.22500000E+01	2.87140000E+11
4.27500000E+01	2.39700000E+11
4.32500000E+01	1.82270000E+11
4.37500000E+01	6.24220000E+10
4.42500000E+01	3.74530000E+10
4.47500000E+01	7.49060000E+09
4.52500000E+01	0.00000000E+00
4.57500000E+01	0.00000000E+00
4.62500000E+01	0.00000000E+00
4.67500000E+01	0.00000000E+00
4.72500000E+01	0.00000000E+00
4.77500000E+01	0.00000000E+00
4.82500000E+01	0.00000000E+00
4.87500000E+01	0.00000000E+00
4.92500000E+01	0.00000000E+00
4.97500000E+01	0.00000000E+00
