# Production of Au-196 gs
# E_in [eV]   sigma[barns]
1.000000e+06  0.000000e+00
1.500000e+06  0.000000e+00
2.000000e+06  0.000000e+00
2.500000e+06  0.000000e+00
3.000000e+06  0.000000e+00
3.500000e+06  0.000000e+00
4.000000e+06  0.000000e+00
4.500000e+06  0.000000e+00
5.000000e+06  0.000000e+00
5.250000e+06  0.000000e+00
5.500000e+06  0.000000e+00
5.750000e+06  0.000000e+00
6.000000e+06  0.000000e+00
6.500000e+06  0.000000e+00
7.000000e+06  0.000000e+00
7.500000e+06  0.000000e+00
8.000000e+06  0.000000e+00
8.070000e+06  0.000000e+00
8.500000e+06  3.237906e-02
9.000000e+06  4.233270e-02
9.500000e+06  5.170764e-02
1.000000e+07  6.512594e-02
1.050000e+07  8.723447e-02
1.100000e+07  1.237858e-01
1.150000e+07  1.823671e-01
1.200000e+07  2.614488e-01
1.250000e+07  3.320710e-01
1.300000e+07  3.832199e-01
1.350000e+07  4.319513e-01
1.400000e+07  4.523895e-01
1.450000e+07  4.150596e-01
1.500000e+07  3.300398e-01
1.550000e+07  2.057983e-01
1.600000e+07  1.166999e-01
1.650000e+07  6.568816e-02
1.700000e+07  3.875974e-02
1.750000e+07  2.450845e-02
1.800000e+07  1.648669e-02
1.850000e+07  1.204134e-02
1.900000e+07  9.074769e-03
1.950000e+07  7.070054e-03
2.000000e+07  5.553049e-03
2.100000e+07  3.601806e-03
2.200000e+07  2.508466e-03
2.300000e+07  1.890217e-03
2.400000e+07  1.500652e-03
2.500000e+07  1.253253e-03
2.600000e+07  1.086408e-03
2.700000e+07  9.482184e-04
2.800000e+07  8.427931e-04
2.900000e+07  7.453964e-04
3.000000e+07  6.633726e-04
3.200000e+07  5.238837e-04
3.400000e+07  4.220442e-04
3.600000e+07  3.446270e-04
3.800000e+07  2.917727e-04
4.000000e+07  2.453656e-04
4.200000e+07  2.113545e-04
4.400000e+07  1.841834e-04
4.600000e+07  1.653011e-04
4.800000e+07  1.455881e-04
5.000000e+07  1.310473e-04
5.200000e+07  1.198142e-04
5.400000e+07  1.087278e-04
5.600000e+07  9.967676e-05
5.800000e+07  9.239837e-05
6.000000e+07  8.335829e-05
6.200000e+07  7.870464e-05
6.400000e+07  7.304520e-05
6.600000e+07  6.899966e-05
6.800000e+07  6.374237e-05
7.000000e+07  5.884784e-05
7.200000e+07  5.553984e-05
7.400000e+07  5.265017e-05
7.600000e+07  5.091967e-05
7.800000e+07  4.693909e-05
8.000000e+07  4.309873e-05
8.500000e+07  3.730077e-05
9.000000e+07  3.284359e-05
9.500000e+07  2.841864e-05
1.000000e+08  2.505673e-05
1.100000e+08  1.923403e-05
1.200000e+08  1.428018e-05
1.300000e+08  1.106656e-05
1.400000e+08  8.597118e-06
1.500000e+08  6.751606e-06
1.600000e+08  5.304644e-06
1.700000e+08  4.405633e-06
1.800000e+08  3.479474e-06
1.900000e+08  2.688148e-06
2.000000e+08  2.488169e-06
