[ T-Cross ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    1            # number of crossing regions
      non     r-from            r-to       area
      1       ( 342 343 )       341        1.000000    
   e-type =    2            # e-mesh is linear given by emin, emax and ne
     emin =   0.000000      # minimum value of e-mesh points
     emax =   50.00000      # maximum value of e-mesh points
#    edel =  0.5000000      # mesh width of e-mesh points
       ne =    100          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           0.00000E+00  5.00000E-01  1.00000E+00  1.50000E+00  2.00000E+00
#           2.50000E+00  3.00000E+00  3.50000E+00  4.00000E+00  4.50000E+00
#           5.00000E+00  5.50000E+00  6.00000E+00  6.50000E+00  7.00000E+00
#           7.50000E+00  8.00000E+00  8.50000E+00  9.00000E+00  9.50000E+00
#           1.00000E+01  1.05000E+01  1.10000E+01  1.15000E+01  1.20000E+01
#           1.25000E+01  1.30000E+01  1.35000E+01  1.40000E+01  1.45000E+01
#           1.50000E+01  1.55000E+01  1.60000E+01  1.65000E+01  1.70000E+01
#           1.75000E+01  1.80000E+01  1.85000E+01  1.90000E+01  1.95000E+01
#           2.00000E+01  2.05000E+01  2.10000E+01  2.15000E+01  2.20000E+01
#           2.25000E+01  2.30000E+01  2.35000E+01  2.40000E+01  2.45000E+01
#           2.50000E+01  2.55000E+01  2.60000E+01  2.65000E+01  2.70000E+01
#           2.75000E+01  2.80000E+01  2.85000E+01  2.90000E+01  2.95000E+01
#           3.00000E+01  3.05000E+01  3.10000E+01  3.15000E+01  3.20000E+01
#           3.25000E+01  3.30000E+01  3.35000E+01  3.40000E+01  3.45000E+01
#           3.50000E+01  3.55000E+01  3.60000E+01  3.65000E+01  3.70000E+01
#           3.75000E+01  3.80000E+01  3.85000E+01  3.90000E+01  3.95000E+01
#           4.00000E+01  4.05000E+01  4.10000E+01  4.15000E+01  4.20000E+01
#           4.25000E+01  4.30000E+01  4.35000E+01  4.40000E+01  4.45000E+01
#           4.50000E+01  4.55000E+01  4.60000E+01  4.65000E+01  4.70000E+01
#           4.75000E+01  4.80000E+01  4.85000E+01  4.90000E+01  4.95000E+01
#           5.00000E+01
     unit =    2            # unit is [1/cm^2/MeV/source]
     axis =  eng            # axis of output
     file = out/cross_energy.dat  # file name of output for the above axis
   output = current         # surface crossing current spectrum
     part =  photon   
# kf/name :  22       
    x-txt = energy [MeV]
    y-txt = counts [photons/MeV/s]
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         117 (  0)           0 (  0)         117 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =    1   reg = ( 342 343 ) - 341

x: energy [MeV]
y: counts [photons/MeV/s]
p: xlin ylog afac(0.8) form(0.9)
h: n            x            y(photon  ),hh0l   n 
#  e-lower      e-upper      photon      r.err 
   0.0000E+00   5.0000E-01   1.9032E+14  0.0030
   5.0000E-01   1.0000E+00   2.1301E+14  0.0028
   1.0000E+00   1.5000E+00   1.3519E+14  0.0035
   1.5000E+00   2.0000E+00   9.7362E+13  0.0041
   2.0000E+00   2.5000E+00   7.4737E+13  0.0046
   2.5000E+00   3.0000E+00   6.0243E+13  0.0051
   3.0000E+00   3.5000E+00   5.0176E+13  0.0056
   3.5000E+00   4.0000E+00   4.3017E+13  0.0061
   4.0000E+00   4.5000E+00   3.7117E+13  0.0065
   4.5000E+00   5.0000E+00   3.2156E+13  0.0070
   5.0000E+00   5.5000E+00   2.8666E+13  0.0074
   5.5000E+00   6.0000E+00   2.5479E+13  0.0079
   6.0000E+00   6.5000E+00   2.3418E+13  0.0082
   6.5000E+00   7.0000E+00   2.1000E+13  0.0086
   7.0000E+00   7.5000E+00   1.9130E+13  0.0091
   7.5000E+00   8.0000E+00   1.7228E+13  0.0095
   8.0000E+00   8.5000E+00   1.6084E+13  0.0099
   8.5000E+00   9.0000E+00   1.4947E+13  0.0102
   9.0000E+00   9.5000E+00   1.3879E+13  0.0106
   9.5000E+00   1.0000E+01   1.3047E+13  0.0110
   1.0000E+01   1.0500E+01   1.2069E+13  0.0114
   1.0500E+01   1.1000E+01   1.1559E+13  0.0116
   1.1000E+01   1.1500E+01   1.0618E+13  0.0121
   1.1500E+01   1.2000E+01   9.9006E+12  0.0126
   1.2000E+01   1.2500E+01   9.3953E+12  0.0129
   1.2500E+01   1.3000E+01   8.8649E+12  0.0133
   1.3000E+01   1.3500E+01   8.2764E+12  0.0138
   1.3500E+01   1.4000E+01   8.0724E+12  0.0139
   1.4000E+01   1.4500E+01   7.4212E+12  0.0145
   1.4500E+01   1.5000E+01   7.1999E+12  0.0147
   1.5000E+01   1.5500E+01   6.7809E+12  0.0152
   1.5500E+01   1.6000E+01   6.4184E+12  0.0156
   1.6000E+01   1.6500E+01   6.0873E+12  0.0160
   1.6500E+01   1.7000E+01   5.8456E+12  0.0164
   1.7000E+01   1.7500E+01   5.5867E+12  0.0167
   1.7500E+01   1.8000E+01   5.2603E+12  0.0172
   1.8000E+01   1.8500E+01   5.0782E+12  0.0176
   1.8500E+01   1.9000E+01   5.0672E+12  0.0176
   1.9000E+01   1.9500E+01   4.6278E+12  0.0184
   1.9500E+01   2.0000E+01   4.3736E+12  0.0189
   2.0000E+01   2.0500E+01   4.3108E+12  0.0191
   2.0500E+01   2.1000E+01   4.1523E+12  0.0194
   2.1000E+01   2.1500E+01   3.9122E+12  0.0200
   2.1500E+01   2.2000E+01   3.7537E+12  0.0204
   2.2000E+01   2.2500E+01   3.5795E+12  0.0209
   2.2500E+01   2.3000E+01   3.5670E+12  0.0210
   2.3000E+01   2.3500E+01   3.4195E+12  0.0214
   2.3500E+01   2.4000E+01   3.2327E+12  0.0220
   2.4000E+01   2.4500E+01   3.1119E+12  0.0224
   2.4500E+01   2.5000E+01   3.1088E+12  0.0224
   2.5000E+01   2.5500E+01   2.9079E+12  0.0232
   2.5500E+01   2.6000E+01   2.7823E+12  0.0237
   2.6000E+01   2.6500E+01   2.4952E+12  0.0251
   2.6500E+01   2.7000E+01   2.5218E+12  0.0249
   2.7000E+01   2.7500E+01   2.3555E+12  0.0258
   2.7500E+01   2.8000E+01   2.3100E+12  0.0260
   2.8000E+01   2.8500E+01   2.1766E+12  0.0268
   2.8500E+01   2.9000E+01   2.0683E+12  0.0275
   2.9000E+01   2.9500E+01   2.0260E+12  0.0278
   2.9500E+01   3.0000E+01   1.9334E+12  0.0285
   3.0000E+01   3.0500E+01   1.8533E+12  0.0291
   3.0500E+01   3.1000E+01   1.6807E+12  0.0305
   3.1000E+01   3.1500E+01   1.6729E+12  0.0306
   3.1500E+01   3.2000E+01   1.4532E+12  0.0328
   3.2000E+01   3.2500E+01   1.4893E+12  0.0324
   3.2500E+01   3.3000E+01   1.3041E+12  0.0347
   3.3000E+01   3.3500E+01   1.1974E+12  0.0362
   3.3500E+01   3.4000E+01   1.1299E+12  0.0373
   3.4000E+01   3.4500E+01   1.0153E+12  0.0393
