# g + 226Ra: Production of 225Ra - Total
# Q-value    =-6.39605E+00 mass= 225.023611
# E-threshold= 6.39605E+00
# # energies =    45
#     E          xs
 1.00000E+00 0.00000E+00
 2.00000E+00 0.00000E+00
 3.00000E+00 0.00000E+00
 4.00000E+00 0.00000E+00
 5.00000E+00 0.00000E+00
 6.00000E+00 0.00000E+00
 7.00000E+00 2.73732E+01
 8.00000E+00 4.19637E+01
 9.00000E+00 6.76175E+01
 1.00000E+01 1.15818E+02
 1.10000E+01 2.10086E+02
 1.20000E+01 2.69288E+02
 1.30000E+01 1.97271E+02
 1.40000E+01 1.03028E+02
 1.50000E+01 4.76266E+01
 1.60000E+01 2.21278E+01
 1.70000E+01 1.18426E+01
 1.80000E+01 7.18938E+00
 1.90000E+01 4.83608E+00
 2.00000E+01 3.50236E+00
 2.20000E+01 2.08478E+00
 2.40000E+01 1.39482E+00
 2.60000E+01 9.91992E-01
 2.80000E+01 7.35938E-01
 3.00000E+01 5.85504E-01
 3.50000E+01 3.88125E-01
 4.00000E+01 2.90917E-01
 4.50000E+01 2.25318E-01
 5.00000E+01 1.76782E-01
 5.50000E+01 1.56957E-01
 6.00000E+01 1.26637E-01
 6.50000E+01 1.18017E-01
 7.00000E+01 9.78377E-02
 7.50000E+01 9.22542E-02
 8.00000E+01 7.78196E-02
 9.00000E+01 6.24322E-02
 1.00000E+02 5.00143E-02
 1.10000E+02 4.07090E-02
 1.20000E+02 3.34347E-02
 1.30000E+02 2.78499E-02
 1.40000E+02 2.36097E-02
 1.50000E+02 1.96255E-02
 1.60000E+02 1.65410E-02
 1.80000E+02 1.21671E-02
 2.00000E+02 9.34924E-03
